timestamp,temperature,humidity,light_intensity,co2_concentration,soil_moisture,soil_temperature
2024-12-15 00:00:00,11.17,80.34,0.0,455.53,58.01,10.49
2024-12-15 00:02:00,11.06,89.16,0.0,429.02,60.25,10.24
2024-12-15 00:04:00,11.13,76.89,0.0,451.42,59.93,10.34
2024-12-15 00:06:00,10.89,84.08,0.0,428.05,58.64,10.17
2024-12-15 00:08:00,11.24,82.12,0.0,473.84,61.05,10.38
2024-12-15 00:10:00,10,81.2,0.0,432.47,62.45,9.89
2024-12-15 00:12:00,10,85.44,0.0,474.64,58.84,9.41
2024-12-15 00:14:00,10.53,79.84,0.0,441.8,59.19,10.19
2024-12-15 00:16:00,10.43,83.71,0.0,420.97,61.51,10.01
2024-12-15 00:18:00,10,82.8,0.0,444.81,60.26,9.98
2024-12-15 00:20:00,10,77.72,0.0,422.13,59.82,9.83
2024-12-15 00:22:00,10.14,87.3,0.0,438.77,60.82,9.98
2024-12-15 00:24:00,10.23,85.37,0.0,460.1,58.95,9.26
2024-12-15 00:26:00,10.84,80.67,0.0,451.39,60.29,10.01
2024-12-15 00:28:00,10.3,80.54,0.0,436.15,56.59,8.88
2024-12-15 00:30:00,10,80.94,0.0,416.69,63.04,8.83
2024-12-15 00:32:00,10,81.84,0.0,422.88,56.35,9.37
2024-12-15 00:34:00,10.02,82.86,0.0,475.56,61.22,9.19
2024-12-15 00:36:00,10,83.26,0.0,452.91,61.14,9.44
2024-12-15 00:38:00,10.98,80.43,0.0,449.01,60.13,10.17
2024-12-15 00:40:00,10,83.43,0.0,459.72,60.3,8.8
2024-12-15 00:42:00,10.57,83.31,0.0,469.45,57.19,9.05
2024-12-15 00:44:00,10.36,84.31,0.0,415.14,57.62,9.73
2024-12-15 00:46:00,10,85.59,0.0,467.95,60.29,9.21
2024-12-15 00:48:00,10.63,82.68,0.0,452.82,60.3,9.16
2024-12-15 00:50:00,10,82.41,0.0,470.63,59.71,8.77
2024-12-15 00:52:00,10,82.27,0.0,428.24,59.65,8.62
2024-12-15 00:54:00,10,79.34,0.0,443.54,57.66,8.9
2024-12-15 00:56:00,10,81.44,0.0,457.96,58.96,8.94
2024-12-15 00:58:00,10.46,78.83,0.0,463.26,60.6,9.38
2024-12-15 01:00:00,11.36,84.46,0.0,446.87,62.55,9.36
2024-12-15 01:02:00,10.88,76.89,0.0,465.74,58.59,9.28
2024-12-15 01:04:00,10.06,77.27,0.0,438.55,63.54,9.07
2024-12-15 01:06:00,10,87.24,0.0,433.68,59.44,9.07
2024-12-15 01:08:00,10,81.16,0.0,451.08,62.94,8.8
2024-12-15 01:10:00,10,79.17,0.0,433.15,61.11,8.82
2024-12-15 01:12:00,10,85.08,0.0,441.11,59.47,8.59
2024-12-15 01:14:00,10,80.15,0.0,412.79,62.89,8.28
2024-12-15 01:16:00,10,87.45,0.0,426.42,59.75,8.03
2024-12-15 01:18:00,10.48,82.37,0.0,436.58,58.65,8.28
2024-12-15 01:20:00,10,86.06,0.0,447.53,58.62,8.61
2024-12-15 01:22:00,10.45,85.07,0.0,452.38,61.62,8.75
2024-12-15 01:24:00,10,85.86,0.0,438.65,62.39,8.41
2024-12-15 01:26:00,10,84.29,0.0,447.38,58.65,8.53
2024-12-15 01:28:00,10.65,78.69,0.0,422.11,58.8,8.19
2024-12-15 01:30:00,10,80.7,0.0,458.09,58.29,8.37
2024-12-15 01:32:00,10,84.26,0.0,443.29,59.16,8.6
2024-12-15 01:34:00,10,80.51,0.0,415.89,58.26,8.5
2024-12-15 01:36:00,10,87.46,0.0,473.87,60.41,8.53
2024-12-15 01:38:00,10,76.64,0.0,444.0,63.86,7.57
2024-12-15 01:40:00,10,85.88,0.0,430.75,56.49,8.08
2024-12-15 01:42:00,10,80.69,0.0,429.56,61.69,8.4
2024-12-15 01:44:00,10,83.7,0.0,460.31,59.28,8.27
2024-12-15 01:46:00,10,82.12,0.0,442.76,59.16,8.46
2024-12-15 01:48:00,10,80.37,0.0,437.31,59.01,8.31
2024-12-15 01:50:00,10,84.44,0.0,458.86,62.49,7.95
2024-12-15 01:52:00,10,86.66,0.0,440.39,59.11,8.11
2024-12-15 01:54:00,10,87.76,0.0,456.21,61.19,8.04
2024-12-15 01:56:00,10.04,83.05,0.0,441.72,60.78,8.16
2024-12-15 01:58:00,10.42,83.72,0.0,463.05,61.23,9.04
2024-12-15 02:00:00,10,84.02,0.0,451.47,60.08,7.86
2024-12-15 02:02:00,10,86.96,0.0,441.1,63.74,7.94
2024-12-15 02:04:00,10,82.03,0.0,462.82,62.29,7.61
2024-12-15 02:06:00,10,79.8,0.0,423.37,61.6,7.75
2024-12-15 02:08:00,10.04,86.32,0.0,440.36,59.79,7.04
2024-12-15 02:10:00,10.08,82.41,0.0,439.48,58.82,7.98
2024-12-15 02:12:00,10,81.61,0.0,432.54,58.57,7.58
2024-12-15 02:14:00,10,77.46,0.0,437.79,62.11,7.54
2024-12-15 02:16:00,10,86.82,0.0,472.35,61.97,7.46
2024-12-15 02:18:00,10,85.88,0.0,478.16,62.93,7.63
2024-12-15 02:20:00,10,81.71,0.0,435.14,60.11,7.34
2024-12-15 02:22:00,10,80.98,0.0,444.46,59.34,7.26
2024-12-15 02:24:00,10,82.56,0.0,449.74,63.24,7.31
2024-12-15 02:26:00,10,77.02,0.0,487.54,62.67,7.28
2024-12-15 02:28:00,10,83.65,0.0,441.16,58.23,7.34
2024-12-15 02:30:00,10,82.31,0.0,460.27,58.1,7.31
2024-12-15 02:32:00,10,83.32,0.0,471.97,61.81,7.63
2024-12-15 02:34:00,10.19,83.94,0.0,435.58,59.07,7.48
2024-12-15 02:36:00,11.14,84.08,0.0,448.34,58.32,7.75
2024-12-15 02:38:00,10,86.07,0.0,496.07,57.86,7.38
2024-12-15 02:40:00,10,86.66,0.0,452.63,58.61,7.68
2024-12-15 02:42:00,10,80.24,0.0,439.47,58.24,6.93
2024-12-15 02:44:00,10,75.34,0.0,438.25,58.64,7.53
2024-12-15 02:46:00,10,81.97,0.0,433.25,59.56,6.97
2024-12-15 02:48:00,10,80.72,0.0,435.71,61.25,7.24
2024-12-15 02:50:00,10,76.38,0.0,463.02,59.11,7.47
2024-12-15 02:52:00,10.02,84.33,0.0,463.69,60.23,7.17
2024-12-15 02:54:00,10,83.97,0.0,399.2,58.88,7.52
2024-12-15 02:56:00,10.26,75.84,0.0,467.78,59.31,7.48
2024-12-15 02:58:00,10,81.8,0.0,451.33,64.21,6.58
2024-12-15 03:00:00,10,81.41,0.0,465.46,61.31,7.0
2024-12-15 03:02:00,10,87.08,0.0,445.88,58.44,6.99
2024-12-15 03:04:00,10,84.43,0.0,448.43,57.91,6.77
2024-12-15 03:06:00,10.31,81.36,0.0,404.91,61.6,6.49
2024-12-15 03:08:00,10,83.52,0.0,493.06,61.74,6.58
2024-12-15 03:10:00,10,80.66,0.0,413.3,63.35,7.46
2024-12-15 03:12:00,10,84.12,0.0,472.42,60.26,6.93
2024-12-15 03:14:00,10,78.68,0.0,467.05,60.64,7.09
2024-12-15 03:16:00,10,83.29,0.0,426.25,62.31,6.67
2024-12-15 03:18:00,10.14,88.87,0.0,453.57,59.11,6.85
2024-12-15 03:20:00,10,81.91,0.0,439.44,60.43,6.91
2024-12-15 03:22:00,10,84.5,0.0,466.41,58.64,6.88
2024-12-15 03:24:00,10,89.25,0.0,460.96,63.35,6.5
2024-12-15 03:26:00,10,78.83,0.0,387.67,61.69,6.95
2024-12-15 03:28:00,10.68,79.79,0.0,447.53,62.19,7.15
2024-12-15 03:30:00,11.03,84.76,0.0,447.37,57.83,7.49
2024-12-15 03:32:00,10,85.13,0.0,455.26,60.74,6.31
2024-12-15 03:34:00,10.7,83.91,0.0,450.55,60.61,6.68
2024-12-15 03:36:00,10,81.65,0.0,461.84,63.82,6.5
2024-12-15 03:38:00,10.03,81.23,0.0,458.29,58.35,6.65
2024-12-15 03:40:00,10.29,84.23,0.0,423.51,61.72,6.29
2024-12-15 03:42:00,10.86,86.08,0.0,453.61,59.38,6.99
2024-12-15 03:44:00,10,82.83,0.0,447.05,64.8,6.47
2024-12-15 03:46:00,10.46,80.24,0.0,416.86,58.52,6.45
2024-12-15 03:48:00,11.12,84.92,0.0,443.59,61.51,7.11
2024-12-15 03:50:00,11.15,82.21,0.0,428.91,63.15,6.65
2024-12-15 03:52:00,10.61,81.99,0.0,463.89,60.62,6.85
2024-12-15 03:54:00,10.72,84.51,0.0,455.16,57.27,7.12
2024-12-15 03:56:00,10.52,83.34,0.0,424.49,64.1,6.44
2024-12-15 03:58:00,10.0,79.14,0.0,474.73,56.83,5.97
2024-12-15 04:00:00,10,86.47,0.0,436.41,58.68,6.21
2024-12-15 04:02:00,10.33,80.67,0.0,444.35,53.93,6.24
2024-12-15 04:04:00,11.02,79.19,0.0,435.07,61.98,6.49
2024-12-15 04:06:00,10.32,83.11,0.0,421.31,55.9,6.47
2024-12-15 04:08:00,10.8,79.45,0.0,427.61,60.9,6.32
2024-12-15 04:10:00,11.0,81.8,0.0,451.49,59.57,6.54
2024-12-15 04:12:00,10.06,83.2,0.0,385.55,63.84,5.83
2024-12-15 04:14:00,10.27,83.56,0.0,465.21,62.74,6.81
2024-12-15 04:16:00,11.79,88.0,0.0,440.68,59.01,6.42
2024-12-15 04:18:00,11.47,79.37,0.0,451.09,59.25,6.94
2024-12-15 04:20:00,10.79,83.44,0.0,401.93,57.99,6.16
